month	depth	latitude	longitude	chl	phyc	time
1	1.5413754	21.75	122.25	0.35559785	1.508149	2022-01-01
1	1.5413754	21.75	122.5	0.35149708	1.4638721	2022-01-01
1	1.5413754	21.75	122.75	0.31906888	1.3924017	2022-01-01
1	1.5413754	21.75	123.0	0.28842962	1.342875	2022-01-01
1	1.5413754	22.0	119.25	0.39039174	1.5577873	2022-01-01
1	1.5413754	22.0	119.5	0.37316757	1.5032691	2022-01-01
1	1.5413754	22.0	119.75	0.3647737	1.4757662	2022-01-01
1	1.5413754	22.0	120.0	0.3696657	1.4935045	2022-01-01
1	1.5413754	22.0	120.25	0.38890523	1.55811	2022-01-01
1	1.5413754	22.0	120.5	0.40643996	1.6512263	2022-01-01
1	1.5413754	22.0	121.0	0.34688276	1.48304	2022-01-01
1	1.5413754	22.0	121.25	0.2678634	1.3377771	2022-01-01
1	1.5413754	22.0	121.5	0.26575089	1.3819165	2022-01-01
1	1.5413754	22.0	121.75	0.32579374	1.5036228	2022-01-01
1	1.5413754	22.0	122.0	0.36855805	1.57406	2022-01-01
1	1.5413754	22.0	122.25	0.40122455	1.6025734	2022-01-01
1	1.5413754	22.0	122.5	0.38750833	1.5362931	2022-01-01
1	1.5413754	22.0	122.75	0.36528918	1.4858463	2022-01-01
1	1.5413754	22.0	123.0	0.34932584	1.4635752	2022-01-01
1	1.5413754	22.25	119.25	0.43016288	1.6333376	2022-01-01
1	1.5413754	22.25	119.5	0.40983236	1.5911916	2022-01-01
1	1.5413754	22.25	119.75	0.40408868	1.5928606	2022-01-01
1	1.5413754	22.25	120.0	0.40897587	1.6376678	2022-01-01
1	1.5413754	22.25	120.25	0.43987945	1.8174915	2022-01-01
1	1.5413754	22.25	120.5	0.42318225	1.9273795	2022-01-01
1	1.5413754	22.25	121.0	0.40798384	1.6496391	2022-01-01
1	1.5413754	22.25	121.25	0.33886504	1.4610633	2022-01-01
1	1.5413754	22.25	121.5	0.32063812	1.459188	2022-01-01
1	1.5413754	22.25	121.75	0.3426901	1.502588	2022-01-01
1	1.5413754	22.25	122.0	0.38778412	1.600881	2022-01-01
1	1.5413754	22.25	122.25	0.41387054	1.6365392	2022-01-01
1	1.5413754	22.25	122.5	0.39742923	1.5801368	2022-01-01
1	1.5413754	22.25	122.75	0.39008334	1.5424126	2022-01-01
1	1.5413754	22.25	123.0	0.38207334	1.503967	2022-01-01
1	1.5413754	22.5	119.25	0.5029292	1.8244241	2022-01-01
1	1.5413754	22.5	119.5	0.45126343	1.656014	2022-01-01
1	1.5413754	22.5	119.75	0.48036668	1.81634	2022-01-01
1	1.5413754	22.5	120.0	0.4882228	1.9213594	2022-01-01
1	1.5413754	22.5	120.25	0.5219848	2.4072242	2022-01-01
1	1.5413754	22.5	120.5	0.4772697	2.5900288	2022-01-01
1	1.5413754	22.5	121.0	0.46507418	1.8503759	2022-01-01
1	1.5413754	22.5	121.25	0.4310423	1.6884183	2022-01-01
1	1.5413754	22.5	121.5	0.4265134	1.6751573	2022-01-01
1	1.5413754	22.5	121.75	0.4443429	1.6893647	2022-01-01
1	1.5413754	22.5	122.0	0.44309327	1.6654091	2022-01-01
1	1.5413754	22.5	122.25	0.41930866	1.6125414	2022-01-01
1	1.5413754	22.5	122.5	0.39667168	1.5561097	2022-01-01
1	1.5413754	22.5	122.75	0.39754048	1.5297525	2022-01-01
1	1.5413754	22.5	123.0	0.39602086	1.5076667	2022-01-01
1	1.5413754	22.75	119.25	0.7607676	2.6513906	2022-01-01
1	1.5413754	22.75	119.5	0.54595315	1.9499433	2022-01-01
1	1.5413754	22.75	119.75	0.511259	1.9306078	2022-01-01
1	1.5413754	22.75	120.0	0.59158075	2.345344	2022-01-01
1	1.5413754	22.75	121.25	0.48557115	1.9287416	2022-01-01
1	1.5413754	22.75	121.5	0.49401906	1.8497202	2022-01-01
1	1.5413754	22.75	121.75	0.49280694	1.8079937	2022-01-01
1	1.5413754	22.75	122.0	0.4483179	1.6792464	2022-01-01
1	1.5413754	22.75	122.25	0.41102064	1.5878688	2022-01-01
1	1.5413754	22.75	122.5	0.39238796	1.5271589	2022-01-01
1	1.5413754	22.75	122.75	0.40747637	1.5312397	2022-01-01
1	1.5413754	22.75	123.0	0.41172302	1.5259323	2022-01-01
1	1.5413754	23.0	119.25	1.0778309	3.8318229	2022-01-01
1	1.5413754	23.0	119.5	0.9358241	3.3418903	2022-01-01
1	1.5413754	23.0	119.75	0.6923321	2.5810103	2022-01-01
1	1.5413754	23.0	120.0	0.81293267	3.4605713	2022-01-01
1	1.5413754	23.0	121.5	0.48733538	1.8281997	2022-01-01
1	1.5413754	23.0	121.75	0.48217902	1.7871803	2022-01-01
1	1.5413754	23.0	122.0	0.44622242	1.6791613	2022-01-01
1	1.5413754	23.0	122.25	0.4128208	1.5887319	2022-01-01
1	1.5413754	23.0	122.5	0.39682412	1.5391346	2022-01-01
1	1.5413754	23.0	122.75	0.41900924	1.5473584	2022-01-01
1	1.5413754	23.0	123.0	0.41967338	1.5232468	2022-01-01
1	1.5413754	23.25	119.25	1.192469	4.6757717	2022-01-01
1	1.5413754	23.25	119.5	0.9851792	4.498769	2022-01-01
1	1.5413754	23.25	119.75	0.83940566	3.2293403	2022-01-01
1	1.5413754	23.25	120.0	1.2337637	6.368353	2022-01-01
1	1.5413754	23.25	121.5	0.4519806	1.7352004	2022-01-01
1	1.5413754	23.25	121.75	0.4675966	1.7477858	2022-01-01
1	1.5413754	23.25	122.0	0.43652773	1.6687078	2022-01-01
1	1.5413754	23.25	122.25	0.4101674	1.6106114	2022-01-01
1	1.5413754	23.25	122.5	0.4162618	1.5883671	2022-01-01
1	1.5413754	23.25	122.75	0.43231845	1.5692519	2022-01-01
1	1.5413754	23.25	123.0	0.4229049	1.5167867	2022-01-01
1	1.5413754	23.5	119.25	1.1783456	4.4613776	2022-01-01
1	1.5413754	23.5	119.5	1.2020991	5.3151445	2022-01-01
1	1.5413754	23.5	119.75	0.97865844	3.5369525	2022-01-01
1	1.5413754	23.5	120.0	1.6733289	7.766434	2022-01-01
1	1.5413754	23.5	121.75	0.4563328	1.7147503	2022-01-01
1	1.5413754	23.5	122.0	0.43175632	1.6791742	2022-01-01
1	1.5413754	23.5	122.25	0.41695732	1.6583576	2022-01-01
1	1.5413754	23.5	122.5	0.43975532	1.655674	2022-01-01
1	1.5413754	23.5	122.75	0.45023263	1.6311567	2022-01-01
1	1.5413754	23.5	123.0	0.4382271	1.594959	2022-01-01
1	1.5413754	23.75	119.25	1.4503074	4.9285154	2022-01-01
1	1.5413754	23.75	119.5	1.7642219	6.0079093	2022-01-01
1	1.5413754	23.75	119.75	1.4719294	4.759666	2022-01-01
1	1.5413754	23.75	120.0	1.9024953	7.310548	2022-01-01
1	1.5413754	23.75	121.75	0.46097872	1.7273436	2022-01-01
1	1.5413754	23.75	122.0	0.43388665	1.6904235	2022-01-01
1	1.5413754	23.75	122.25	0.42838234	1.701919	2022-01-01
1	1.5413754	23.75	122.5	0.45815158	1.7142463	2022-01-01
1	1.5413754	23.75	122.75	0.46157372	1.6835389	2022-01-01
1	1.5413754	23.75	123.0	0.45697588	1.6589457	2022-01-01
