depth	latitude	longitude	chl	phyc	time
0.49402538	25.25	119.5	0.24912056	1.2059622	2021-10-01
0.49402538	25.25	119.75	0.21729174	0.90787196	2021-10-01
0.49402538	25.25	120.0	0.17276244	0.6695583	2021-10-01
0.49402538	25.25	120.25	0.14796889	0.6145757	2021-10-01
0.49402538	25.25	120.5	0.19863498	0.7037432	2021-10-01
0.49402538	25.25	120.75	0.23252633	0.70043826	2021-10-01
0.49402538	25.25	121.0	0.21757127	0.68674886	2021-10-01
0.49402538	25.25	121.25	0.27249953	0.9322593	2021-10-01
0.49402538	25.25	121.5	0.13026404	0.69878525	2021-10-01
0.49402538	25.25	121.75	0.07496259	0.31229544	2021-10-01
0.49402538	25.25	122.0	0.070585206	0.28019124	2021-10-01
0.49402538	25.25	122.25	0.060665455	0.24979755	2021-10-01
0.49402538	25.25	122.5	0.058714464	0.24281187	2021-10-01
0.49402538	25.25	122.75	0.058800444	0.24133477	2021-10-01
0.49402538	25.25	123.0	0.05904302	0.24599366	2021-10-01
0.49402538	25.5	119.75	0.24417832	1.1423562	2021-10-01
0.49402538	25.5	120.0	0.19751576	0.7635445	2021-10-01
0.49402538	25.5	120.25	0.15401508	0.6335816	2021-10-01
0.49402538	25.5	120.5	0.17165592	0.6345901	2021-10-01
0.49402538	25.5	120.75	0.21776377	0.65565103	2021-10-01
0.49402538	25.5	121.0	0.20195462	0.6308882	2021-10-01
0.49402538	25.5	121.25	0.20577802	0.6883781	2021-10-01
0.49402538	25.5	121.5	0.12293574	0.4825526	2021-10-01
0.49402538	25.5	121.75	0.073092796	0.28127947	2021-10-01
0.49402538	25.5	122.0	0.069192134	0.2657574	2021-10-01
0.49402538	25.5	122.25	0.06252544	0.24628058	2021-10-01
0.49402538	25.5	122.5	0.061248843	0.24192613	2021-10-01
0.49402538	25.5	122.75	0.06408619	0.24712944	2021-10-01
0.49402538	25.5	123.0	0.06443585	0.25314084	2021-10-01
1.5413754	21.75	119.25	0.02727695	0.19946821	2021-10-01
1.5413754	21.75	119.5	0.025480522	0.19820055	2021-10-01
1.5413754	21.75	119.75	0.03517438	0.21337444	2021-10-01
1.5413754	21.75	120.0	0.049668644	0.23479603	2021-10-01
1.5413754	21.75	120.25	0.054314937	0.24141857	2021-10-01
1.5413754	21.75	120.5	0.046516314	0.23137674	2021-10-01
1.5413754	21.75	120.75	0.048254214	0.25179067	2021-10-01
1.5413754	21.75	121.0	0.054895937	0.28218517	2021-10-01
1.5413754	21.75	121.25	0.05381573	0.2796607	2021-10-01
1.5413754	21.75	121.5	0.038191855	0.2481716	2021-10-01
1.5413754	21.75	121.75	0.017848762	0.19471265	2021-10-01
1.5413754	21.75	122.0	0.013534491	0.17588122	2021-10-01
1.5413754	21.75	122.25	0.013948842	0.1653834	2021-10-01
1.5413754	21.75	122.5	0.014893398	0.16300488	2021-10-01
1.5413754	21.75	122.75	0.015552033	0.16092855	2021-10-01
1.5413754	21.75	123.0	0.015303215	0.15953425	2021-10-01
1.5413754	22.0	119.25	0.031341996	0.20859031	2021-10-01
1.5413754	22.0	119.5	0.029217143	0.20388985	2021-10-01
1.5413754	22.0	119.75	0.034020707	0.2125193	2021-10-01
1.5413754	22.0	120.0	0.04618485	0.23326002	2021-10-01
1.5413754	22.0	120.25	0.044292096	0.23093936	2021-10-01
1.5413754	22.0	120.5	0.03753088	0.22512315	2021-10-01
1.5413754	22.0	121.0	0.06332728	0.32761577	2021-10-01
1.5413754	22.0	121.25	0.05913599	0.30668727	2021-10-01
1.5413754	22.0	121.5	0.04858831	0.2869336	2021-10-01
1.5413754	22.0	121.75	0.024706433	0.21813932	2021-10-01
1.5413754	22.0	122.0	0.014143044	0.18020429	2021-10-01
1.5413754	22.0	122.25	0.013756674	0.16694096	2021-10-01
1.5413754	22.0	122.5	0.014543337	0.16360225	2021-10-01
1.5413754	22.0	122.75	0.015400908	0.1614165	2021-10-01
1.5413754	22.0	123.0	0.015684789	0.16001856	2021-10-01
1.5413754	22.25	119.25	0.034923296	0.22255541	2021-10-01
1.5413754	22.25	119.5	0.031708844	0.21291962	2021-10-01
1.5413754	22.25	119.75	0.032926373	0.21452902	2021-10-01
1.5413754	22.25	120.0	0.03636917	0.22317798	2021-10-01
1.5413754	22.25	120.25	0.035703138	0.22731678	2021-10-01
1.5413754	22.25	120.5	0.033101663	0.23822284	2021-10-01
