depth	latitude	longitude	nppv	o2	time
1.5413754	21.75	119.75	1.8729613	32.520718	2021-10-01
1.5413754	21.75	120.0	2.7675903	32.52724	2021-10-01
1.5413754	21.75	120.25	2.9798846	32.54651	2021-10-01
1.5413754	21.75	120.5	2.428241	32.5805	2021-10-01
1.5413754	21.75	120.75	2.8337793	32.594887	2021-10-01
1.5413754	21.75	121.0	3.5562963	32.62117	2021-10-01
1.5413754	21.75	121.25	3.5690718	32.600037	2021-10-01
1.5413754	21.75	121.5	2.2760742	32.497604	2021-10-01
1.5413754	21.75	121.75	0.7091223	32.3903	2021-10-01
1.5413754	21.75	122.0	0.49739626	32.3981	2021-10-01
1.5413754	21.75	122.25	0.51773804	32.367634	2021-10-01
1.5413754	21.75	122.5	0.55034107	32.383698	2021-10-01
1.5413754	21.75	122.75	0.5551286	32.412827	2021-10-01
1.5413754	21.75	123.0	0.5429001	32.41424	2021-10-01
1.5413754	22.0	119.25	1.3811613	32.603424	2021-10-01
1.5413754	22.0	119.5	1.4309502	32.56618	2021-10-01
1.5413754	22.0	119.75	1.7676015	32.53296	2021-10-01
1.5413754	22.0	120.0	2.5386312	32.548363	2021-10-01
1.5413754	22.0	120.25	2.2383637	32.573494	2021-10-01
1.5413754	22.0	120.5	1.8297224	32.60508	2021-10-01
1.5413754	22.0	121.0	3.961812	32.686737	2021-10-01
1.5413754	22.0	121.25	3.8319657	32.638367	2021-10-01
1.5413754	22.0	121.5	2.62066	32.570663	2021-10-01
1.5413754	22.0	121.75	1.0954394	32.447506	2021-10-01
1.5413754	22.0	122.0	0.5071937	32.412773	2021-10-01
1.5413754	22.0	122.25	0.50586224	32.37314	2021-10-01
1.5413754	22.0	122.5	0.53960717	32.377857	2021-10-01
1.5413754	22.0	122.75	0.55408365	32.408813	2021-10-01
1.5413754	22.0	123.0	0.5488172	32.420002	2021-10-01
1.5413754	22.25	119.25	1.6162771	32.655342	2021-10-01
1.5413754	22.25	119.5	1.4834594	32.613552	2021-10-01
1.5413754	22.25	119.75	1.632755	32.581593	2021-10-01
1.5413754	22.25	120.0	2.012371	32.588383	2021-10-01
1.5413754	22.25	120.25	1.9790899	32.627876	2021-10-01
1.5413754	22.25	120.5	1.8816446	32.595284	2021-10-01
1.5413754	22.25	121.0	3.4746995	32.742813	2021-10-01
1.5413754	22.25	121.25	4.390948	32.66734	2021-10-01
1.5413754	22.25	121.5	3.480009	32.64214	2021-10-01
1.5413754	22.25	121.75	2.2710495	32.56594	2021-10-01
1.5413754	22.25	122.0	0.7022787	32.461014	2021-10-01
1.5413754	22.25	122.25	0.49555308	32.388893	2021-10-01
1.5413754	22.25	122.5	0.5167327	32.375584	2021-10-01
1.5413754	22.25	122.75	0.5453081	32.39543	2021-10-01
1.5413754	22.25	123.0	0.5491218	32.417965	2021-10-01
1.5413754	22.5	119.25	1.9849029	32.81984	2021-10-01
1.5413754	22.5	119.5	1.7616796	32.75935	2021-10-01
1.5413754	22.5	119.75	1.7313688	32.68262	2021-10-01
1.5413754	22.5	120.0	1.737749	32.664524	2021-10-01
1.5413754	22.5	120.25	1.9262606	32.685074	2021-10-01
1.5413754	22.5	120.5	1.6939229	32.56432	2021-10-01
1.5413754	22.5	121.0	2.2385452	32.724213	2021-10-01
1.5413754	22.5	121.25	4.556646	32.722073	2021-10-01
1.5413754	22.5	121.5	3.9979954	32.702778	2021-10-01
1.5413754	22.5	121.75	3.2772374	32.671604	2021-10-01
1.5413754	22.5	122.0	1.4439156	32.550335	2021-10-01
1.5413754	22.5	122.25	0.57379836	32.43459	2021-10-01
1.5413754	22.5	122.5	0.49422142	32.382217	2021-10-01
1.5413754	22.5	122.75	0.51828665	32.383774	2021-10-01
1.5413754	22.5	123.0	0.53965396	32.40266	2021-10-01
1.5413754	22.75	119.25	2.8464386	33.219067	2021-10-01
1.5413754	22.75	119.5	1.9974734	33.019165	2021-10-01
1.5413754	22.75	119.75	1.88903	32.822414	2021-10-01
1.5413754	22.75	120.0	1.9147081	32.713474	2021-10-01
1.5413754	22.75	121.25	3.4767988	32.76477	2021-10-01
1.5413754	22.75	121.5	3.4555552	32.74897	2021-10-01
1.5413754	22.75	121.75	3.7626483	32.735943	2021-10-01
1.5413754	22.75	122.0	2.4927769	32.655857	2021-10-01
1.5413754	22.75	122.25	1.0058692	32.51658	2021-10-01
1.5413754	22.75	122.5	0.51020646	32.415344	2021-10-01
1.5413754	22.75	122.75	0.48570576	32.38457	2021-10-01
1.5413754	22.75	123.0	0.5135805	32.387836	2021-10-01
1.5413754	23.0	119.25	3.8813708	33.378887	2021-10-01
1.5413754	23.0	119.5	2.0500872	33.06117	2021-10-01
1.5413754	23.0	119.75	1.9709625	32.883728	2021-10-01
1.5413754	23.0	120.0	2.0812492	32.795727	2021-10-01
1.5413754	23.0	121.5	3.0930588	32.747353	2021-10-01
1.5413754	23.0	121.75	3.5628743	32.783504	2021-10-01
1.5413754	23.0	122.0	3.0033185	32.74908	2021-10-01
1.5413754	23.0	122.25	1.6365507	32.624256	2021-10-01
1.5413754	23.0	122.5	0.6829225	32.49394	2021-10-01
1.5413754	23.0	122.75	0.4902795	32.415314	2021-10-01
1.5413754	23.0	123.0	0.48486513	32.39204	2021-10-01
1.5413754	23.25	119.25	3.4595861	33.29444	2021-10-01
1.5413754	23.25	119.5	2.969601	33.11355	2021-10-01
1.5413754	23.25	119.75	2.2306898	33.022877	2021-10-01
1.5413754	23.25	120.0	3.577061	33.17259	2021-10-01
1.5413754	23.25	121.5	2.168047	32.727993	2021-10-01
1.5413754	23.25	121.75	3.1227002	32.793594	2021-10-01
